article_id,review_id,eppi_id,citation,authors,title,year,type,journal,country,region,location,mine,latitude,longitude,unique_mine,metals,multiple_metals,metals_all,mine_type,stage_prospecting,stage_exploration,stage_construction,stage_operation,stage_decommissioning_closure,stage_postclosure,stage_remediation,stage_abandonment,stage_expansion,comment,study_design,study_design_comments,comparator,setting,context,population_description,population_system,affected_system,affected_component,affected_factor,impact_pathway,mitigation,mitigation_description,mitigation_focal_impact,outcome_measured,outcome_category,data_type,data_source,notes,link
298,AS,,"Jurjovec J, Ptacek CJ, Blowes DW, and Jambor JL. 2003. The effect of natrojarosite addition to mine tailings. Environ. Sci. Technol. 37: 158-164.","Jurjovec J, Ptacek CJ, Blowes DW, and Jambor JL",The effect of natrojarosite addition to mine tailings,2003,Article,Environmental Science & Technology,Canada,Ontario,Kidd Creek,Kidd Creek,48.691036,-81.3932428,Kidd Creek,Iron,N/A,Iron,Open pit,N,N,N,Y,N,N,Y,N,N,,CI,"To evaluate further the effects of the co-disposal at Kidd Creek, a column experiment was conducted over a period of eight months to determine if natrojarosite dissolves under geochemical conditions and if the heavy metals that are associated with it are mobile under such conditions",Control,Lab Experiment,ex situ,Column experiment effluents,Environmental,2-Water,2B-Groundwater ,2B-Quality,Acid mine drainage,yes,Discard of wastes by combining them with mine tailings prior to disposing the blended material to a containment facility,Acid mine drainage,Concentrations of dissolved metals such as Pb and Cd,Metal concentration,Quantitative,Figure 2-3,,http://scholar.google.co.uk/scholar?q=The+effect+of+natrojarosite+addition+to+mine+tailings&btnG=&hl=en&as_sdt=0%2C5
317,AS,,Smith GJ and Rongstad OJ. 1982. Small mammal heavy metal concentrations from mined and control sites. Environmental Pollution (series A) 28: 121-134.,Smith GJ and Rongstad OJ,Small mammal heavy metal concentrations from mined and control sites,1982,Article,Environmental Pollution,Canada,Ontario,Timmins,Kidd Creek,48.691036,-81.3932428,Kidd Creek,Multiple,Copper; Zinc,Copper; Zinc,Open pit,N,N,N,Y,N,N,N,N,N,"Actively mined study site selected is 21km north of Timmins, Ontario, Canada",CI,"Total body concentrations of zinc, copper, cadmium, lead, nickel, mercury and arsenic were determined for Peromyscus maniculatus and Microtus pennsylvanicus from an active zinc-copper mine, a proposed zinc-copper mine near Crandon with ore deposit and a third reference with no deposits",Reference site/population,Field + Lab analysis,in situ,Small mammals (Peromyscus maniculatus and Microtus pennsylvanicus),Environmental,4-Biodiversity,4B-Fauna,4B-Species groups,Environmental effects and accumulation of heavy metals,no,N/A,N/A,"Total body concentrations of zinc, copper, cadmium, lead, nickel, mercury and arsenic",Metal concentration,Quantitative,Table 1-2; Figure 1,,http://scholar.google.co.uk/scholar?q=Small+mammal+heavy+metal+concentrations+from+mined+and+control+sites&btnG=&hl=en&as_sdt=0%2C5
443,AS,,"Fortin D, and Beveridge TJ. 1997. Microbial sulfate reduction within sulfidic mine tailings: Formation of diagenetic Fe sulfides. Geomicrobiology Journal. 14(1): 1-21","Fortin D, and Beveridge TJ",Microbial sulfate reduction within sulfidic mine tailings: Formation of diagenetic Fe sulfides,1997,Article,Geomicrobiology Journal,Canada,Ontario,Kidd Creek,Kidd Creek,48.691036,-81.3932428,Kidd Creek,Multiple,Copper; Zinc,Copper; Zinc,Open pit,N,N,N,Y,N,N,N,N,N,,CI,"Present study will show that the presence of SRB affects the porewater chemistry (dissolved SO4, Fe, Cu, Zn, etc.) of the Kidd Creek Mine tailings and is associated with the formation of diagenetic Fe sulfides within the deposit.",Control,Field + Lab analysis,in situ,Porewater at tailings site,Environmental,2-Water,2B-Groundwater ,2B-Quality,Sulphide generating leachate,no,N/A,N/A,Water quality,Water quality,Quantitative,Figure 1-2,,http://scholar.google.co.uk/scholar?q=Microbial+sulfate+reduction+within+sulfidic+mine+tailings:+Formation+of+diagenetic+Fe+sulfides&btnG=&hl=en&as_sdt=0%2C5
443,AS,,"Fortin D, and Beveridge TJ. 1997. Microbial sulfate reduction within sulfidic mine tailings: Formation of diagenetic Fe sulfides. Geomicrobiology Journal. 14(1): 1-21","Fortin D, and Beveridge TJ",Microbial sulfate reduction within sulfidic mine tailings: Formation of diagenetic Fe sulfides,1997,Article,Geomicrobiology Journal,Canada,Ontario,Kidd Creek,Kidd Creek,48.691036,-81.3932428,Kidd Creek,Multiple,Copper; Zinc,Copper; Zinc,Open pit,N,N,N,Y,N,N,N,N,N,,CI,"Present study will show that the presence of SRB affects the porewater chemistry (dissolved SO4, Fe, Cu, Zn, etc.) of the Kidd Creek Mine tailings and is associated with the formation of diagenetic Fe sulfides within the deposit.",Control,Field + Lab analysis,in situ,Sulfate reducing bacteria,Environmental,4-Biodiversity,4A-Flora,4A-Species distribution,Sulphide generating leachate,no,N/A,N/A,Distribution of SRB populations,Species biomass/distribution,Quantitative,Figure 1-2,,http://scholar.google.co.uk/scholar?q=Microbial+sulfate+reduction+within+sulfidic+mine+tailings:+Formation+of+diagenetic+Fe+sulfides&btnG=&hl=en&as_sdt=0%2C5
495,AS,,"Davis BS, Fortin D, and Beveridge TJ. 1995. Acidophilic bacteria, acid mine drainage and KIDD CREEK mine tailings. '95 Conference on Mining and the Environment, Sudbury, Ontario. ","Davis BS, Fortin D, and Beveridge TJ","Acidophilic bacteria, acid mine drainage and KIDD CREEK mine tailings",1995,Conf,N/A,Canada,Ontario,Kidd Creek,Kidd Creek,48.691036,-81.3932428,Kidd Creek,Iron,N/A,Iron,Open pit,N,N,N,Y,N,N,Y,N,N,,CI,Determine microbial ecology of oxic zone within tailings and compared to those from a nearby abandoned AMD-generating mine.,Reference site/population,Field + Lab analysis,in situ,Soil sampling at tailings sites,Environmental,1-Soil/Geology,1A-Soil surface,1A-Quality,Acid mine drainage,yes,Thickened Tailings Discharge System,Impoundment designed to contain and/or reduce the formation of AMD,Bacterial community,Species biomass/distribution,Quantitative,Figure 1-3,,"http://scholar.google.co.uk/scholar?q=Acidophilic+bacteria,+acid+mine+drainage+and+KIDD+CREEK+mine+tailings&btnG=&hl=en&as_sdt=0%2C5"
414,AS,,Glooschenko WA and de Benedetti A. 1983. Atmospheric deposition of iron from mining activities in northern Ontario. The Science of the Total Environment. 32: 73-79.,Glooschenko WA and de Benedetti A,Atmospheric deposition of iron from mining activities in northern Ontario,1983,Article,Science of the Total Environment,Canada,Ontario,Atikokan and Subdury,Regional,48.7616848,-91.6446234,Regional,Iron,N/A,Iron,Unclear,N,N,N,N,N,N,N,Y,N,,Correlative,"Determine the atmospheric deposition of iron from two mining areas in northern Ontario -- Atikokan and Sudbury -- by use of Sphagnum moss, Atitkokan mine ceased activity in 1979 where as Sudbury iron production is ongoing",Background values,Field + Lab analysis,in situ,"Sphagnum moss, mainly S. fuscum",Environmental,4-Biodiversity,4A-Flora,4A-Species groups,Atmospheric transport and subsequent deposition of potentially toxic elements,no,N/A,N/A,Iron content,Metal concentration,Quantitative,Figure 2-3,Spatial pattern,http://scholar.google.co.uk/scholar?q=Atmospheric+deposition+of+iron+from+mining+activities+in+northern+Ontario&btnG=&hl=en&as_sdt=0%2C5
358,AS,,"Conly AG, Lee PF, Godwin A, and Cockerton S. 2008. Experimental Constraints for the Source of Sulfate Toxicity and Predictive Water Quality for the Hogarth and Caland Pit Lakes, Steep Rock Iron Mine, Northwestern Ontario, Canada. ","Conly AG, Lee PF, Godwin A, and Cockerton S","Experimental Constraints for the Source of Sulfate Toxicity and Predictive Water Quality for the Hogarth and Caland Pit Lakes, Steep Rock Iron Mine, Northwestern Ontario, Canada",2008,Other/Unlcear,N/A,Canada,Ontario,Hogarth and Caland Pit Lakes,Steep Rock,48.7963745,-91.6455637,Steep Rock,Iron,N/A,Iron,Open pit,N,N,N,N,N,Y,N,N,N,,CI,"Two adjacent pit lakes, Caland and Hogarth, were formed after the closure and subsequent flooding of the Steep Rock iron mines, water-rock reaction experiments to determine source of sulfate toxicity and predictive Water Quality",Reference site/population,Field + Lab analysis,in situ,Hogarth and Caland pit lake water quality,Environmental,2-Water,2A-Surface water,2A-Quality ,Differences in the pyrite content of the buried ore zone,no,N/A,N/A,Water quality,Water quality,Quantitative,Figure 1,,http://scholar.google.co.uk/scholar?q=Experimental+Constraints+for+the+Source+of+Sulfate+Toxicity+and+Predictive+Water+Quality+for+the+Hog&btnG=&hl=en&as_sdt=0%2C5
358,AS,,"Conly AG, Lee PF, Godwin A, and Cockerton S. 2008. Experimental Constraints for the Source of Sulfate Toxicity and Predictive Water Quality for the Hogarth and Caland Pit Lakes, Steep Rock Iron Mine, Northwestern Ontario, Canada. ","Conly AG, Lee PF, Godwin A, and Cockerton S","Experimental Constraints for the Source of Sulfate Toxicity and Predictive Water Quality for the Hogarth and Caland Pit Lakes, Steep Rock Iron Mine, Northwestern Ontario, Canada",2008,Other/Unlcear,N/A,Canada,Ontario,Hogarth and Caland Pit Lakes,Steep Rock,48.7963745,-91.6455637,Steep Rock,Iron,N/A,Iron,Open pit,N,N,N,N,N,Y,N,N,N,,CI,"Two adjacent pit lakes, Caland and Hogarth, were formed after the closure and subsequent flooding of the Steep Rock iron mines, water-rock reaction experiments to determine source of sulfate toxicity and predictive Water Quality",Reference site/population,Field + Lab analysis,in situ,Lemna minor (duckweed),Environmental,4-Biodiversity,4A-Flora,4A-Individual species,Differences in the pyrite content of the buried ore zone,no,N/A,N/A,Growth,Growth/condition/survival,Quantitative,Table 1,,http://scholar.google.co.uk/scholar?q=Experimental+Constraints+for+the+Source+of+Sulfate+Toxicity+and+Predictive+Water+Quality+for+the+Hog&btnG=&hl=en&as_sdt=0%2C5
426,AS,,"Lee PF, Van Cook M, and Conly AG. 2008. Predicting Discharge Water Quality from Steeprock Pit Lakes in Atikokan, Ontario, Canada. Rapantova N and Hrkal Z. (eds) Mine Water and the Environment. 137: 4p","Lee PF, Van Cook M, and Conly AG","Predicting Discharge Water Quality from Steeprock Pit Lakes in Atikokan, Ontario, Canada",2008,Book Chap,N/A,Canada,Ontario,Caland and Hogarth Pit Lakes,Steep Rock,48.7963745,-91.6455637,Steep Rock,Iron,N/A,Iron,Open pit,N,N,N,N,N,N,N,Y,N,,Correlative,Develop a model that would describe the sequential flooding of the pit lakes until outflow; 2) to predict the water quality in the pit lakes at outlow; and 3) to determine whether wetland plants could improve the outflow water quality.,Control,Modelling,in situ,GIS model was developed to forecast the filling of the two pit lakes,Environmental,2-Water,2A-Surface water,2A-Surface drainage (runoff patterns) ,Outfall of the Steep Rock pit lakes into the west arm of Steep Rock Lake,no,N/A,N/A,Predicted flooding sequence within the Steeprock Pit Lakes Basin,Flow/landscape change,Quantitative,Figure 1,,"http://scholar.google.co.uk/scholar?q=Predicting+Discharge+Water+Quality+from+Steeprock+Pit+Lakes+in+Atikokan,+Ontario,+Canada&btnG=&hl=en&as_sdt=0%2C5"
426,AS,,"Lee PF, Van Cook M, and Conly AG. 2008. Predicting Discharge Water Quality from Steeprock Pit Lakes in Atikokan, Ontario, Canada. Rapantova N and Hrkal Z. (eds) Mine Water and the Environment. 137: 4p","Lee PF, Van Cook M, and Conly AG","Predicting Discharge Water Quality from Steeprock Pit Lakes in Atikokan, Ontario, Canada",2008,Book Chap,N/A,Canada,Ontario,Caland and Hogarth Pit Lakes,Steep Rock,48.7963745,-91.6455637,Steep Rock,Iron,N/A,Iron,Open pit,N,N,N,N,N,N,N,Y,N,,Correlative,Develop a model that would describe the sequential flooding of the pit lakes until outflow; 2) to predict the water quality in the pit lakes at outlow; and 3) to determine whether wetland plants could improve the outflow water quality.,Control,Modelling,in situ,GIS model was developed to forecast the filling of the two pit lakes,Environmental,2-Water,2A-Surface water,2A-Quality ,Outfall of the Steep Rock pit lakes into the west arm of Steep Rock Lake,no,N/A,N/A,Predicted future metal concentrations,Metal concentration,Quantitative,Table 1,,"http://scholar.google.co.uk/scholar?q=Predicting+Discharge+Water+Quality+from+Steeprock+Pit+Lakes+in+Atikokan,+Ontario,+Canada&btnG=&hl=en&as_sdt=0%2C5"
426,AS,,"Lee PF, Van Cook M, and Conly AG. 2008. Predicting Discharge Water Quality from Steeprock Pit Lakes in Atikokan, Ontario, Canada. Rapantova N and Hrkal Z. (eds) Mine Water and the Environment. 137: 4p","Lee PF, Van Cook M, and Conly AG","Predicting Discharge Water Quality from Steeprock Pit Lakes in Atikokan, Ontario, Canada",2008,Book Chap,N/A,Canada,Ontario,Caland and Hogarth Pit Lakes,Steep Rock,48.7963745,-91.6455637,Steep Rock,Iron,N/A,Iron,Open pit,N,N,N,N,N,N,N,Y,N,,CI,Develop a model that would describe the sequential flooding of the pit lakes until outflow; 2) to predict the water quality in the pit lakes at outlow; and 3) to determine whether wetland plants could improve the outflow water quality.,Control,Lab Experiment,mesocosm,"Four test species (Phragmites australis, Typha latifolia, Eleocharis smallii, and Carex sp.)",Environmental,4-Biodiversity,4A-Flora,4A-Species groups,Outfall of the Steep Rock pit lakes into the west arm of Steep Rock Lake,yes,Potential for wetland plant species to remediate outflow water was determined from planting four common wetland species,Pit lake runoff water quality,Plant tissue concentrations,Metal concentration,Quantitative,Figure 2,,"http://scholar.google.co.uk/scholar?q=Predicting+Discharge+Water+Quality+from+Steeprock+Pit+Lakes+in+Atikokan,+Ontario,+Canada&btnG=&hl=en&as_sdt=0%2C5"
439,AS,,McNaughton KA. 2001. The limnology of two proximal pit lakes after twenty years of intense flooding (Ontario). Lakehead University MSc thesis,McNaughton KA,The limnology of two proximal pit lakes after twenty years of intense flooding (Ontario),2001,Thesis,N/A,Canada,Ontario,Caland and Hogarth Pit Lakes,Steep Rock,48.7963745,-91.6455637,Steep Rock,Iron,N/A,Iron,Open pit,N,N,N,N,N,N,N,Y,N,,CI,"Two adjacent pit-lakes, Caland and Hogarth, formed after the flooding o f open pit iron mines near Atikokan, Ontario, Canada, were examined for their w ater quality relationships and potential to support aquaculture.",Background values,Field + Lab analysis,in situ,Water quality in both pit-lakes,Environmental,2-Water,2A-Surface water,2A-Quality ,"Flooding o f open pit iron mines near Atikokan,",no,N/A,N/A,Water Chemsitry,Water quality,Quantitative,Section 1.3.1,,http://scholar.google.co.uk/scholar?q=The+limnology+of+two+proximal+pit+lakes+after+twenty+years+of+intense+flooding+(Ontario)&btnG=&hl=en&as_sdt=0%2C5
222,AS,,Gamage A and Shahidi F. 2007. Use of chitosan for the removal of metal ion contaminants and proteins from water. Food Chemistry. 104: 989-996.,Gamage A and Shahidi F,Use of chitosan for the removal of metal ion contaminants and proteins from water,2007,Article,Food Chemistry,Canada,Newfoundland & Labrador,Buchans,Buchans,48.8254665,-56.8385577,Buchans,Zinc,N/A,Zinc,Surface mine,N,N,N,Y,N,N,N,N,N,,CI,Three types of chitosans were evaluated for their capacity to chelate metal ions in samples of water obtained from a zinc mining site,Control,Lab Experiment,ex situ,Mine waste water,Environmental,2-Water,2B-Groundwater ,2B-Quality,Water obtained from a zinc mining site ,yes,Naturally abundant biosorbants such as chitin and chitosan,Mine waste water,Chelation capacity,Mitigation measure/change in measure,Quantitative,Table 2,,http://scholar.google.co.uk/scholar?q=Use+of+chitosan+for+the+removal+of+metal+ion+contaminants+and+proteins+from+water&btnG=&hl=en&as_sdt=0%2C5
267,AS,,"Hobday J and Fletcher WK. 2003. Dispersion of gold in Slesse Creek, British Columbia. Geochemistry: Exploration, Environment, Analysis. 3: 73-78.",Hobday J and Fletcher WK,"Dispersion of gold in Slesse Creek, British Columbia",2003,Article,"Geochemistry: Exploration, Environment, Analysis",Canada,British Columbia,Slesse Cree,Red Mountain,49.0074065,-121.6273077,Red Mountain,Gold,N/A,Gold,Unclear,N,N,N,Y,N,N,N,N,N,,CI,"Overcome the effects of anomaly dilution and ensure detection of geochemical anomalies with sediment samples that represent large drainage basins. Here this problem is studied and tested using the dispersion of Au and associated elements from the Red Mountain Mine, in the Cascade Mountains of the USA–Canada border",Reference site/population,Field + Lab analysis,in situ,Stream sediments from Slesse Creek and other tributaries,Environmental,2-Water,2D-Sediment,2D-Quality,Tributaries that drain Red Mountain Mine,no,N/A,N/A,Gold and other metal concentrations,Metal concentration,Quantitative,Figure 3; Table 3,,"http://scholar.google.co.uk/scholar?q=Dispersion+of+gold+in+Slesse+Creek,+British+Columbia&btnG=&hl=en&as_sdt=0%2C5"
50,AS,,Scheuhammer AM and Dickson KM. 1996. Patterns of environmental lead exposure in waterfowl in eastern Canada. Ambio. 25(1): 14-20,Scheuhammer AM and Dickson KM,Patterns of environmental lead exposure in waterfowl in eastern Canada,1996,Article,Ambio,Canada,Eastern Canada,NS,Regional,49.09074633,-69.32935172,Regional,Multiple,Gold; Copper; Zinc,Gold; Copper; Zinc,Unclear,NS,NS,NS,NS,NS,NS,NS,NS,NS,,Correlative,Estimate the pattern of elevated Pb exposure for juvenile ducksand determine levels correlated with known causes of environmental pollution,Background values,Modelling,ex situ,Juvenile ducks,Environmental,4-Biodiversity,4B-Fauna,4B-Species groups,Proximity ro nonferrous mining or smelting activities,no,N/A,N/A,Bone-Pb concentration,Metal concentration,Quantitative,Table 2,,http://scholar.google.co.uk/scholar?q=Patterns+of+environmental+lead+exposure+in+waterfowl+in+eastern+Canada&btnG=&hl=en&as_sdt=0%2C5
528,AS,,Johnston M and Lorch B. 1996. Community distinctiveness and company closure in a Northern Ontario mining town. The Great Lakes Geographer. 3(1): 39-52.,Johnston M and Lorch B,Community distinctiveness and company closure in a Northern Ontario mining town,1996,Article,The Great Lakes Geographer,Canada,Ontario,Manitouwadge,Noranda,49.159594,-85.8012277,Noranda,Multiple,Copper; Zinc,Copper; Zinc,Unclear,N,N,N,N,N,Y,N,N,N,,I/A only,Explore the distinct local context and its role in shaping the reactions and coping strategies adopted by residents of Manitouwadge to the announced closure of its primary employer.,No control,Social Science,in situ,Manitouwadge local community,Social,5-Human environment,5B-Economic,5B-Jobs (new employments),Announced closure of its primary employer the Noranda mine,no,N/A,N/A,Economic characteristics,Employment/Economy,Quantitative,Table 2,,http://scholar.google.co.uk/scholar?q=Community+distinctiveness+and+company+closure+in+a+Northern+Ontario+mining+town&btnG=&hl=en&as_sdt=0%2C5
528,AS,,Johnston M and Lorch B. 1996. Community distinctiveness and company closure in a Northern Ontario mining town. The Great Lakes Geographer. 3(1): 39-52.,Johnston M and Lorch B,Community distinctiveness and company closure in a Northern Ontario mining town,1996,Article,The Great Lakes Geographer,Canada,Ontario,Manitouwadge,Noranda,49.159594,-85.8012277,Noranda,Multiple,Copper; Zinc,Copper; Zinc,Unclear,N,N,N,N,N,Y,N,N,N,,I/A only,Explore the distinct local context and its role in shaping the reactions and coping strategies adopted by residents of Manitouwadge to the announced closure of its primary employer.,No control,Social Science,in situ,Manitouwadge local community,Social,5-Human environment,5E-Health/wellbeing,5E-Other,Announced closure of its primary employer the Noranda mine,no,N/A,N/A,Community attachment,Community,Quantitative,Table 3 + 5,,http://scholar.google.co.uk/scholar?q=Community+distinctiveness+and+company+closure+in+a+Northern+Ontario+mining+town&btnG=&hl=en&as_sdt=0%2C5
160,AS,,"Heikkinen PM, Raisanen ML, and Johnson RH. 2009. Geochemical Characterisation of Seepage and Drainage Water Quality from Two Sulphide Mine Tailings Impoundments: Acid Mine Drainage versus Neutral Mine Drainage. Mine Water Environ. 28: 30-49","Heikkinen PM, Raisanen ML, and Johnson RH",Geochemical Characterisation of Seepage and Drainage Water Quality from Two Sulphide Mine Tailings Impoundments: Acid Mine Drainage versus Neutral Mine Drainage,2009,Article,Mine Water and the Environment,Finland,Northern Savonia,NS,Hitura; Luikonlahti,62.9358964,28.7081743,Multiple,Multiple,Nickel; Copper,Nickel; Copper,Surface mine,N,N,N,Y,N,N,N,N,N,,Correlative,Seepage water and drainage water geochemistry were studied at two active sulphide mine tailings impoundments in Finland. Data were used to assess the factors influencing tailings seepage quality and to identify constraints for water treatment.,Background values,Field + Lab analysis,in situ,Seepage water and drainage water from mines,Environmental,2-Water,2B-Groundwater ,2B-Quality,Active sulphide mine tailings impoundment,no,N/A,N/A,Water quality data,Water quality,Quantitative,"Table 1-3, Figure 5",Seasonal variation at two differing sites,http://scholar.google.co.uk/scholar?q=Geochemical+Characterisation+of+Seepage+and+Drainage+Water+Quality+from+Two+Sulphide+Mine+Tailings+I&btnG=&hl=en&as_sdt=0%2C5
368,AS,,"Aromaa J, Makinen J, Vepsalainen H, Kaartinen T, Wahlstrom M, and Forsen O. 2013. Comparison of chemical and biological leaching of sulfide tailings. Physicochem. Probl. Miner. Process. 49(2): 607-620","Aromaa J, Makinen J, Vepsalainen H, Kaartinen T, Wahlstrom M, and Forsen O",Comparison of chemical and biological leaching of sulfide tailings. ,2013,Article,Physicochemical Problems of Mineral Processing,Finland,Northern Savonia,NS,Hitura; Pyhäsalmi,62.9358964,28.7081743,Multiple,Multiple,Nickel; Copper,Nickel; Copper,Surface mine,N,N,N,Y,N,N,N,N,N,,CI,"Sulphidic tailings from Finnish Hitura nickel mine and Pyhäsalmi multi-metal mine were leached using sulphuric acid and bioleached. The aim was to recover minor amounts of valuable Cu, Ni, Zn and Mn. Both tailings consisted mainly of iron and magnesium-containing minerals and acid neutralizing minerals.",Control,Lab Experiment,ex situ,The solution after chemical leaching tests,Environmental,2-Water,2B-Groundwater ,2B-Quality,Sulphide-bearing tailings,yes,Leaching using sulphuric acid and bioleached,"Recover minor amounts of valuable Cu, Ni, Zn and Mn.",Metal concentrations,Metal concentration,Quantitative,Fig 1-4; Table 4-5,,http://scholar.google.co.uk/scholar?q=Comparison+of+chemical+and+biological+leaching+of+sulfide+tailings.+&btnG=&hl=en&as_sdt=0%2C5
528,AS,,Johnston M and Lorch B. 1996. Community distinctiveness and company closure in a Northern Ontario mining town. The Great Lakes Geographer. 3(1): 39-52.,Johnston M and Lorch B,Community distinctiveness and company closure in a Northern Ontario mining town,1996,Article,The Great Lakes Geographer,Canada,Ontario,Manitouwadge,Noranda,49.159594,-85.8012277,Noranda,Multiple,Copper; Zinc,Copper; Zinc,Unclear,N,N,N,N,N,Y,N,N,N,,I/A only,Explore the distinct local context and its role in shaping the reactions and coping strategies adopted by residents of Manitouwadge to the announced closure of its primary employer.,No control,Social Science,in situ,Manitouwadge local community,Social,5-Human environment,5E-Health/wellbeing,5E-Wellbeing,Announced closure of its primary employer the Noranda mine,no,N/A,N/A,Quality of Life,Community,Quantitative,Table 4,,http://scholar.google.co.uk/scholar?q=Community+distinctiveness+and+company+closure+in+a+Northern+Ontario+mining+town&btnG=&hl=en&as_sdt=0%2C5
531,AS,,"Miller PA, Munkittrick KR, and Dixon DG. 1992. Relationship between concentrations of Copper and Zinc in water sediment, benthic invertebrates, and tissues of White Sucker (Catostomus commersoni) at metal-contaminated sites. Can. J. Fish. Aquat. Sci. 49: 978-984.","Miller PA, Munkittrick KR, and Dixon DG","Relationship between concentrations of Copper and Zinc in water sediment, benthic invertebrates, and tissues of White Sucker (Catostomus commersoni) at metal-contaminated sites. ",1992,Article,Canadian Journal of Fisheries and Aquatic Science,Canada,Ontario,Manitouwadge,Noranda,49.159594,-85.8012277,Noranda,Multiple,Copper; Zinc,Copper; Zinc,Unclear,N,N,N,N,N,Y,N,N,N,,Correlative,"Relationship of concentrations of Cu and Zn in white sucker tissues to cocnentrations of those in water, sediment and benthic invertebrates were investigated in field study and six Ontario lakes contaminated with mixed-metal mining wastes",Reference site/population,Field + Lab analysis,in situ,"Water, sediments and invertebrate bioaccumulation",Environmental,4-Biodiversity,4C-Ecosystems,4C-Quality,Mixed-metal mining wastes,no,N/A,N/A,Metal concentrations,Metal concentration,Quantitative,Table 1,Correlate tissue concentrations to ecosystem concentrations,"http://scholar.google.co.uk/scholar?q=Relationship+between+concentrations+of+Copper+and+Zinc+in+water+sediment,+benthic+invertebrates,+and&btnG=&hl=en&as_sdt=0%2C5"
531,AS,,"Miller PA, Munkittrick KR, and Dixon DG. 1992. Relationship between concentrations of Copper and Zinc in water sediment, benthic invertebrates, and tissues of White Sucker (Catostomus commersoni) at metal-contaminated sites. Can. J. Fish. Aquat. Sci. 49: 978-984.","Miller PA, Munkittrick KR, and Dixon DG","Relationship between concentrations of Copper and Zinc in water sediment, benthic invertebrates, and tissues of White Sucker (Catostomus commersoni) at metal-contaminated sites. ",1992,Article,Canadian Journal of Fisheries and Aquatic Science,Canada,Ontario,Manitouwadge,Noranda,49.159594,-85.8012277,Noranda,Multiple,Copper; Zinc,Copper; Zinc,Unclear,N,N,N,N,N,Y,N,N,N,,Correlative,"Relationship of concentrations of Cu and Zn in white sucker tissues to cocnentrations of those in water, sediment and benthic invertebrates were investigated in field study and six Ontario lakes contaminated with mixed-metal mining wastes",Reference site/population,Field + Lab analysis,in situ,White Sucker (Catostomus commersoni),Environmental,4-Biodiversity,4B-Fauna,4B-Individual species,Mixed-metal mining wastes,no,N/A,N/A,Tissue metal concentrations,Metal concentration,Quantitative,Table 3-5,Correlate tissue concentrations to ecosystem concentrations,"http://scholar.google.co.uk/scholar?q=Relationship+between+concentrations+of+Copper+and+Zinc+in+water+sediment,+benthic+invertebrates,+and&btnG=&hl=en&as_sdt=0%2C5"
98,AS,,"Munkittrick KR, Miller PA, Barton DR, and Dixon DG. 1991. Altered performance of white sucker populations in the Manitouwadge chain of lakes is associated with changes in benthic macroinvertebrate communities as a result of copper and zinc contamination. Ecotoxicology and Environmental Safety. 21: 318-326.","Munkittrick KR, Miller PA, Barton DR, and Dixon DG",Altered performance of white sucker populations in the Manitouwadge chain of lakes is associated with changes in benthic macroinvertebrate communities as a result of copper and zinc contamination,1991,Article,Ecotoxicology and Environmental Safety,Canada,Ontario,Manitouwadge,NS,49.162334,-85.7776397,NS,Multiple,Copper; Zinc,Copper; Zinc,Unclear,N,N,N,Y,N,N,N,N,N,,CI,White sucker collected from the Manitouwadge chain of lakes contaminated with copper and zinc from a mixed metal mine relative to reference sites,Reference site/population,Field + Lab analysis,in situ,Water collected from the Manitouwadge chain,Environmental,2-Water,2A-Surface water,2A-Quality ,An active Cu-Zn mine ,no,N/A,N/A,Cu and Zn concentrations,Metal concentration,Quantitative,Table 1,,http://scholar.google.co.uk/scholar?q=Altered+performance+of+white+sucker+populations+in+the+Manitouwadge+chain+of+lakes+is+associated+wit&btnG=&hl=en&as_sdt=0%2C5
98,AS,,"Munkittrick KR, Miller PA, Barton DR, and Dixon DG. 1991. Altered performance of white sucker populations in the Manitouwadge chain of lakes is associated with changes in benthic macroinvertebrate communities as a result of copper and zinc contamination. Ecotoxicology and Environmental Safety. 21: 318-326.","Munkittrick KR, Miller PA, Barton DR, and Dixon DG",Altered performance of white sucker populations in the Manitouwadge chain of lakes is associated with changes in benthic macroinvertebrate communities as a result of copper and zinc contamination,1991,Article,Ecotoxicology and Environmental Safety,Canada,Ontario,Manitouwadge,NS,49.162334,-85.7776397,NS,Multiple,Copper; Zinc,Copper; Zinc,Unclear,N,N,N,Y,N,N,N,N,N,,CI,White sucker collected from the Manitouwadge chain of lakes contaminated with copper and zinc from a mixed metal mine relative to reference sites,Reference site/population,Field + Lab analysis,in situ,Sediments collected from the Manitouwadge chain,Environmental,2-Water,2D-Sediment,2D-Quality,An active Cu-Zn mine ,no,N/A,N/A,Cu and Zn concentrations,Metal concentration,Quantitative,Table 1,,http://scholar.google.co.uk/scholar?q=Altered+performance+of+white+sucker+populations+in+the+Manitouwadge+chain+of+lakes+is+associated+wit&btnG=&hl=en&as_sdt=0%2C5
